2016,Up/down,2015,2014,2013,Name,Nationality,Club at Dec 20 2016,Domestic league,Age at 20 Dec 2016,RAW TOTAL,HIGHEST SCORE REMOVED,FINAL SCORE,VOTES CAST,No1 PICK,JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,JUDGES' NUMBERS ARE ALLOCATED AT RANDOM AND BEAR NO RELATION TO THE ALPHABETICAL LIST OF JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CLICK HERE FOR FULL LIST OF JUDGES AND RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-10,8,3,22,Manuel Neuer,Germany,Bayern Munich,Germany,31,1941,37,1904,93,0,7,15,21,23,13,14,,,,34,,28,17,14,14,8,,10,12,,,2,19,36,34,,35,,,8,,25,,28,30,3,,30,,16,22,,25,28,7,,35,27,15,25,,25,13,7,28,14,29,16,29,36,29,3,23,24,,3,36,10,29,,30,27,,26,26,37,19,,22,23,5,20,29,25,20,22,16,,9,,4,,,29,16,26,17,32,24,22,,24,,19,14,23,,10,22,30,,23,,14,28,24,,20,23,18,26,22,33,8
19,49,68,,,Jamie Vardy,England,Leicester City,England,29,1883,38,1845,91,0,,1,14,33,28,31,,16,19,10,31,3,,11,15,30,27,,,,25,,,17,15,30,,29,11,,28,35,6,23,,34,9,8,19,34,,31,1,,30,17,,7,17,22,,20,20,36,26,6,4,,14,34,12,,,29,9,,,17,34,37,,10,14,24,,22,29,19,13,25,,34,22,17,,20,8,10,34,,30,,8,31,22,30,31,5,,7,,27,,2,7,22,38,21,,14,18,29,32,,,33,32,31,11,14,,18,19,35
20,-13,7,13,3,Zlatan Ibrahimovic,Sweden,Manchester United,England,36,1845,36,1809,92,0,23,17,15,19,32,8,13,30,14,13,27,36,,9,17,22,,12,23,,,16,34,16,26,12,,9,28,32,22,1,32,32,,30,29,20,13,,,,22,24,34,,32,9,34,,,4,15,31,25,17,5,11,25,24,4,,,,,27,,30,,,26,,21,10,5,21,26,27,19,22,,19,31,3,5,30,25,,4,20,26,,14,36,,35,,12,34,8,7,34,,7,20,35,20,8,,25,,32,23,,27,14,,3,,3,,21,6,26
21,14,35,11,40,Toni Kroos,Germany,Real Madrid,Spain,27,1839,39,1800,81,0,,,35,22,,24,16,35,22,14,18,,15,,34,32,18,,35,17,32,35,18,28,,,31,14,,9,13,,,11,31,13,14,22,30,,18,19,,32,,27,18,20,27,,26,35,31,,16,27,31,,19,39,35,22,17,16,,,28,,,13,,22,,33,21,,,31,29,,,,23,,14,,13,9,,,25,31,,9,,,,7,33,,27,,,11,13,20,,19,26,26,,26,25,20,29,25,14,2,24,,,24,26,28
22,12,34,72,24,Gianluigi Buffon,Italy,Juventus,Italy,38,1834,37,1797,97,0,24,24,20,18,9,28,19,,18,27,24,26,30,20,5,31,,21,8,21,2,1,17,24,5,11,32,23,36,11,,27,19,24,,1,,5,18,,,,28,,,8,2,,33,10,15,,30,8,9,2,6,33,3,18,,,10,36,23,2,3,36,35,27,12,,15,4,,26,33,15,12,17,,32,32,,27,18,20,18,22,31,20,17,35,,12,37,32,13,19,18,,30,,8,22,,34,,,23,22,,13,23,,7,19,6,5,,36,19,9,15
23,3,26,54,12,Mesut Özil,Germany,Arsenal,England,29,1730,36,1694,87,0,25,4,36,25,23,21,22,23,9,11,5,24,11,17,19,,7,,34,,28,,21,33,7,,11,11,23,28,27,30,26,25,18,33,25,21,7,,31,,,29,,21,34,16,2,3,,23,11,3,7,,26,,32,26,34,27,26,,,,5,,30,,10,17,,28,9,18,,,8,33,3,,15,31,12,10,28,24,,23,,28,7,,25,,,30,21,,14,,,18,23,28,,,8,,11,,35,1,24,,,21,15,31,14,31,,
24,16,40,34,,Diego Godin,Uruguay,Atlético Madrid,Spain,31,1721,35,1686,84,0,34,8,23,,,,30,,,,22,11,29,15,29,25,17,27,,25,,,32,12,19,26,,,,,,16,30,17,20,15,13,16,12,,17,21,,27,,,8,,,,32,6,23,29,15,26,10,21,30,,,,30,5,24,,29,12,6,29,6,,31,18,25,,16,18,14,,35,30,28,,,28,26,,,32,27,,21,26,,21,13,10,11,2,35,,20,21,26,,4,,9,16,31,30,,32,21,,11,16,2,,33,20,4,29
25,12,37,32,45,Sergio Ramos,Spain,Real Madrid,Spain,31,1700,37,1663,87,0,,,13,,,20,26,34,21,16,11,6,7,23,,,,18,32,27,12,7,16,1,,23,20,33,,,,4,25,1,21,31,18,10,,17,5,,,9,2,29,,,9,13,3,,10,,23,18,21,,17,29,,,6,23,31,9,22,37,25,16,4,20,,2,33,31,32,,28,20,7,36,10,,31,,,,,17,,19,,37,24,31,35,14,13,,19,17,21,17,28,4,36,,,20,13,,28,9,32,23,21,33,29,,,26,30,
26,66,92,,,Leonardo Bonucci,Italy,Juventus,Italy,29,1621,38,1583,82,0,5,22,,,,,28,1,24,12,,,28,24,,23,23,17,3,29,,9,,,,25,4,26,20,35,,2,24,21,12,14,21,12,26,,15,25,27,,,,,,31,,,29,26,,5,28,12,36,6,,21,10,37,33,29,,27,27,26,26,2,,34,,31,,17,5,,,,24,4,,18,31,21,26,,22,,38,37,13,10,1,38,1,,30,28,,,5,19,,33,,,2,,,,30,9,11,22,,9,17,23,15,20,9
27,63,90,,,Dimitri Payet,France,West Ham United,England,29,1578,35,1543,84,0,,,11,32,,25,17,12,35,22,13,,3,22,21,29,25,32,33,19,,32,13,,14,29,,16,34,,21,8,5,31,6,32,,3,22,6,21,2,18,13,12,,19,5,18,18,13,7,27,,18,,8,,,,,17,,4,25,24,,,32,,31,,,23,,,23,,16,10,28,,20,12,24,16,5,,30,27,14,2,,11,26,,,24,5,,9,14,,,29,12,,29,24,,,,,4,,22,26,25,26,25,8,29,25,
